"movie_id","movie_title","original_language","overview","production_countries","year_released"
"werner-beinhart","Werner - Beinhart!","de","Comic artist Brösel trades a magic pen that helps him come up with funny stories for the promise to fulfill one of Rumpelstiltskin's wishes. The resulting animated films show episodes of the life of Werner, a plumber apprentice and motorbike enthusiast and his friends. They are interspersed with the live-action portions.","[""Germany""]","1990"
"boss-1996","Boss","ko","Jo Yang-eun was a leading mob boss in Korea in the 1970's leading the Yang-eun family. He was eventually arrested and charged under an internal security act and served 15 years in prison. This film, based on truth, is the story of his life in and outside of jail.","[]","1996"
"what-to-do-in-a-gas-attack","What to Do in a Gas Attack","en","Explains what war gas is, how it is used by the enemy, and how simple household items, such as bicarbonate of soda and bleaching solution, may be used to prevent casualties. (archive.org)","[""United States of America""]","1942"
"the-magic-pear-tree","The Magic Pear Tree","en","The famous lover Jean Navarro arrives at the castle of a marquis. This is a vulgar bon vivant who has been married to the young Chantelle for a short time. At lunch the Marquis falls asleep and Chantelle goes into the garden with Jean, shows him the roses, the stables and the summer house and shortly afterwards confesses her love to him. Jean asks her to do three things as proof of her affection: the tail feathers of her husband's favorite bird, the marquis's whiskers and one of his teeth.","[""United States of America""]","1968"
"glass-the-perfect-american","Glass: The Perfect American","en","The last days of the American icon Walt Disney form a powerful and poignant subject for Philip Glass's latest opera, which was filmed at its first performances in Madrid in January 2013.","[]","2013"
"film:125078","Boule de Suif","ru","A film adaptation of the short story of the same name by Guy de Maupassant.  The action takes place in the XIX century. Franco-Prussian War of 1870. A group of French bourgeois leaves in a stagecoach from Rouen occupied by Prussian troops. Along with them comes one attractive demimonde lady. The only way to get out is to persuade her, nicknamed ""Ball-of-Fat"" a la ""Boule-de-Suif"" to satisfy the lust of the head of the gendarmerie...","[""Soviet Union""]","1934"
"integral-man","Integral Man","en","He chose two young architects that would come to change contemporary architecture. Jim Stewart is the most published mathematician since Euclid, a concert level violinist, calculus professor, philanthropist, and gay rights activist. He is a true polymath, a modern day renaissance man. He had a bold vision and the conviction to follow through. It took almost ten years to realize his dream, Integral House, which was completed in 2009. Designed around a stunning internal concert hall, it was hailed as a masterpiece by some of the greatest architecture and design critics in the world. Integral House, like Jim, was unlike anything else. Now confronting his inability to play violin as arthritis cripples his hands, Jim boldly faces his declining health, jumping head long into the role of impresario. But it would not be so simple. As unexpected events unfold, Jim is left to make some of the most difficult decisions of his life.","[]","2017"
"it-doesnt-hurt-me","It Doesn't Hurt Me","ru","Three friends are in the entrance of a luxury home in the heart of the city. They are young, full of strength and energy, they have the talent, skill and thirst for life and ... - well, they have all but one. But money...","[""Russia""]","2006"
"webbs","Webbs","en","This recently unearthed and newly digitized work is a richly minimalist, single-camera-setup portrait of the sights and sounds at a late-night diner in Madison, WI.","[]","1976"
"young-buckethead-vol-1","Young Buckethead - Vol. 1","en","Young Buckethead Vol. 1 is the second DVD made by the guitarist Buckethead, released in 2006 by Jas Obrecht's label, Avabella.  The material from this DVD was cut in half making 2 volumes of the DVD, Vol. 1 consists of a recompilation of concerts made by Buckethead and the band Deli Creeps, in which Buckethead is part of, just as Buckethead and the Deli Creeps were beginning to play outside of their southern California hometown.
 Vol. 1 features a 1990 Deli Creeps concert and the soundcheck in San Francisco, also a keyboard performance in a San Francisco basement, and an extended guitar solo performed by Buckethead at a family reunion.  The DVD includes the original version of the song ""Binge and Grab"" from the album Giant Robot (1994). It features lyrics by singer Maximum Bob while the studio album version of the song is instrumental.","[]","2006"
"the-half-hitching-post","The Half Hitching Post","zh","An Sai, Shanbei,  An isolated village on the Loess Plateau, Northern China.  Two young outsiders are moving in,  While two young locals are struggling to escape.  Comes into view a donkey full of luggage,  Comes also into view a young couple,  He carries her on a bike...","[]","2005"
"fake-emperor","Fake Emperor","cn","A simple-minded yet happy barber is called upon to act as the emperor's double. Sarcastic mockery and moments of false triumph bring humor to this turn of the century comedy.","[""Hong Kong""]","1995"
"the-clockmakers-dream","The Clockmaker's Dream","fr","A weary clock-maker dozes off in a chair. While he is asleep, three women suddenly appear in the midst of his shop. They proceed to show the sleeping clock-maker some new kinds of clocks that they know how to make.","[""France""]","1904"
"boris-il-film","Boris - Il film","it","A director and his crew attempt to make the transition from the small to the big screen.","[""Italy""]","2011"
"the-cartographer","The Cartographer","en","A girl adrift in a storm in a sea of letters finds herself tossed into a world of mysterious motives, uncertain geography and desperate times. Polly has mapped the entire world. Almost. There is one last, lost city to go. But to know this place is to destroy it and this city's residents have other plans.  Polly has to decide what's where, what's right and how to get out.","[""Australia""]","2011"
